customer_id,total_order_value,basket_size,purchase_frequency,age,Cluster
1,26058.53,6.333333333333333,6,82,2
2,25639.16,6.875,8,39,0
3,11020.92,7.75,4,44,1
4,16498.7,5.666666666666667,6,42,1
5,13870.16,4.8,5,81,2
6,4525.77,3.0,3,50,2
7,15891.449999999999,5.571428571428571,7,61,2
8,9807.619999999999,5.666666666666667,3,97,2
9,15468.73,6.5,6,91,2
10,25567.12,6.625,8,25,0
11,12211.61,6.166666666666667,6,42,1
12,10034.94,7.2,5,74,2
13,21515.670000000002,6.25,8,14,1
14,17651.9,7.8,5,96,2
15,45578.53,7.25,12,40,0
16,30965.76,8.555555555555555,9,54,0
17,25564.2,7.166666666666667,6,62,2
18,21675.27,6.4,5,70,2
19,12582.92,5.666666666666667,6,89,2
20,31063.59,6.0,9,78,0
21,21691.06,6.75,8,87,2
22,30910.67,6.0,8,18,0
23,14248.91,5.0,5,94,2
24,26695.1,8.166666666666666,6,60,0
25,17251.17,8.0,3,17,1
26,28988.76,4.625,8,37,0
27,30289.2,6.833333333333333,6,14,1
28,16001.689999999999,7.0,3,64,2
29,20649.28,6.166666666666667,6,82,2
30,28878.0,5.5,8,74,0
31,36071.26,9.0,8,52,0
32,27339.35,6.285714285714286,7,37,0
33,9859.5,6.0,7,69,2
34,13546.49,6.8,5,18,1
35,11651.939999999999,5.0,4,66,2
36,12193.74,4.666666666666667,3,30,1
37,40551.33,6.454545454545454,11,65,0
38,5094.08,5.5,2,60,2
39,25736.53,6.444444444444445,9,32,0
40,3502.91,6.5,2,96,2
41,27467.85,6.833333333333333,6,74,2
42,26473.04,6.5,6,59,2
43,17570.77,5.625,8,94,2
44,10225.81,4.285714285714286,7,94,2
45,31936.0,7.777777777777778,9,53,0
46,40273.99,6.4,10,52,0
47,12202.7,7.2,5,48,1
48,5114.400000000001,8.0,2,4,1
49,20225.36,7.166666666666667,6,81,2
50,25325.48,6.75,8,93,0
51,11623.22,6.5,4,77,2
52,34287.92,6.454545454545454,11,44,0
53,7826.0199999999995,7.0,3,100,2
54,11343.2,4.5,4,66,2
55,15570.6,6.857142857142857,7,17,1
56,19924.71,6.285714285714286,7,17,1
57,25806.620000000003,7.8,5,14,1
58,21891.28,6.8,5,56,2
59,28326.98,7.5,6,24,1
60,14649.86,5.833333333333333,6,73,2
61,8110.92,4.666666666666667,3,36,1
62,30821.93,8.0,7,95,0
63,13507.4,7.0,6,77,2
64,18589.9,6.5,4,47,1
65,21609.920000000002,6.0,7,39,1
66,24912.18,6.714285714285714,7,56,0
67,33982.53,7.125,8,61,0
68,26952.27,6.8,5,73,2
69,23723.55,7.111111111111111,9,20,0
70,18696.9,9.4,5,29,1
71,12305.72,6.0,7,70,2
72,21854.21,7.0,7,91,2
73,21265.47,6.285714285714286,7,96,2
74,4838.76,8.333333333333334,3,20,1
75,26701.57,6.75,8,18,0
76,26146.19,7.4,10,57,0
77,25508.94,7.333333333333333,6,67,2
78,49411.84,7.7272727272727275,11,65,0
79,4489.08,7.5,2,60,2
80,24745.829999999998,6.0,7,9,1
81,37381.6,8.428571428571429,7,52,0
82,22033.13,5.571428571428571,7,54,2
83,7031.64,6.0,4,72,2
84,30146.14,5.888888888888889,9,6,0
85,24017.36,7.8,5,13,1
86,6751.44,8.0,2,81,2
87,15515.869999999999,5.6,5,49,2
88,34690.0,6.444444444444445,9,12,0
89,29325.21,6.5,10,71,0
90,15931.08,6.666666666666667,6,1,1
91,12676.79,7.75,4,47,1
92,11218.93,6.25,4,56,2
93,18825.59,7.142857142857143,7,92,2
94,10331.24,8.333333333333334,3,82,2
95,8672.14,6.0,4,35,1
96,19548.7,6.166666666666667,6,51,2
97,24542.72,7.6,5,84,2
98,18295.59,6.444444444444445,9,82,0
99,28383.129999999997,6.111111111111111,9,80,0
100,10717.5,7.0,5,39,1
101,12091.6,3.8,5,1,1
102,25555.42,6.714285714285714,7,22,1
103,12000.24,6.5,6,38,1
104,11599.83,6.0,6,52,2
105,15233.080000000002,9.333333333333334,3,65,2
106,8279.28,8.666666666666666,3,79,2
107,5663.56,7.0,2,31,1
108,19804.57,6.571428571428571,7,47,1
109,31191.34,7.571428571428571,7,54,0
110,23508.6,6.444444444444445,9,87,0
111,11383.56,5.75,4,42,1
112,16542.78,6.428571428571429,7,95,2
113,20319.850000000002,7.25,4,76,2
114,8553.54,7.0,2,20,1
115,23772.95,7.833333333333333,6,52,0
116,20959.81,6.6,5,73,2
117,25954.32,7.142857142857143,7,46,0
118,25507.280000000002,8.428571428571429,7,1,1
119,12127.75,6.333333333333333,3,100,2
120,17145.19,6.444444444444445,9,38,0
121,40179.41,6.909090909090909,11,84,0
122,10552.73,3.75,4,86,2
123,9854.62,9.0,2,92,2
124,66785.21,8.0,12,46,0
125,31934.59,7.5,8,89,0
126,37960.68,7.0,9,47,0
127,21668.75,6.75,4,51,2
